state,year,sex,race,deaths,population,crude_rate,age_adjusted_rate,years_pll
Delaware,2023,Females,American Indian / Alaska Native,0**,3732,0.00**,0.00**,
Delaware,2023,Females,Asian,0**,23247,0.00**,0.00**,
Delaware,2023,Females,HI Native / Pacific Islander,0**,591,0.00**,0.00**,
Delaware,2023,Females,More than One Race,0**,16326,0.00**,0.00**,
Delaware,2022,Males,White,88,338295,26.01,21.49,"1,194"
Delaware,2022,Males,Black,16**,114341,13.99**,16.17**,344
Delaware,2022,Males,American Indian / Alaska Native,0**,3735,0.00**,0.00**,
Delaware,2022,Males,HI Native / Pacific Islander,0**,599,0.00**,0.00**,
Delaware,2022,Females,White,19**,354527,5.36**,4.98**,255
Delaware,2022,Females,American Indian / Alaska Native,0**,3669,0.00**,0.00**,
Delaware,2022,Females,HI Native / Pacific Islander,0**,576,0.00**,0.00**,
Delaware,2022,Females,More than One Race,0**,15787,0.00**,0.00**,
Delaware,2021,Males,White,88,336142,26.18,26.4,"1,706"
Delaware,2021,Males,Black,19**,111384,17.06**,17.58**,549
Delaware,2021,Males,American Indian / Alaska Native,0**,3666,0.00**,0.00**,
Delaware,2021,Males,HI Native / Pacific Islander,0**,606,0.00**,0.00**,
Delaware,2021,Females,White,23,351324,6.55,6.52,421
Delaware,2021,Females,American Indian / Alaska Native,0**,3591,0.00**,0.00**,
Delaware,2021,Females,Asian,0**,21655,0.00**,0.00**,
Delaware,2021,Females,HI Native / Pacific Islander,0**,562,0.00**,0.00**,
Delaware,2021,Females,More than One Race,0**,15211,0.00**,0.00**,
Delaware,2020,Males,White,93,333350,27.9,26.21,"1,630"
Delaware,2020,Males,Black,12**,109070,11.00**,10.85**,365
Delaware,2020,Males,American Indian / Alaska Native,0**,3619,0.00**,0.00**,
Delaware,2020,Males,HI Native / Pacific Islander,0**,609,0.00**,0.00**,
Delaware,2020,Females,White,11**,348016,3.16**,3.10**,143
Delaware,2020,Females,American Indian / Alaska Native,0**,3546,0.00**,0.00**,
Delaware,2020,Females,Asian,0**,21219,0.00**,0.00**,
Delaware,2020,Females,HI Native / Pacific Islander,0**,558,0.00**,0.00**,
Delaware,2019,Males,White,73,327622,22.28,20.99,"1,215"
Delaware,2019,Males,American Indian / Alaska Native,0**,3371,0.00**,0.00**,
Delaware,2019,Males,HI Native / Pacific Islander,0**,563,0.00**,0.00**,
Delaware,2019,Males,More than One Race,0**,13521,0.00**,0.00**,
Delaware,2019,Females,White,26,345827,7.52,8.08,537
Delaware,2019,Females,American Indian / Alaska Native,0**,3325,0.00**,0.00**,
Delaware,2019,Females,Asian,0**,20792,0.00**,0.00**,
Delaware,2019,Females,HI Native / Pacific Islander,0**,526,0.00**,0.00**,
Delaware,2019,Females,More than One Race,0**,14345,0.00**,0.00**,
Delaware,2018,Males,White,77,326291,23.6,22.53,"1,620"
Delaware,2018,Males,Black,14**,104889,13.35**,12.39**,453
Delaware,2018,Males,American Indian / Alaska Native,0**,3309,0.00**,0.00**,
Delaware,2018,Males,HI Native / Pacific Islander,0**,527,0.00**,0.00**,
Delaware,2018,Males,More than One Race,0**,13013,0.00**,0.00**,
Delaware,2018,Females,White,18**,343987,5.23**,5.49**,419
Delaware,2018,Females,American Indian / Alaska Native,0**,3234,0.00**,0.00**,
Delaware,2018,Females,Asian,0**,20154,0.00**,0.00**,
Delaware,2018,Females,HI Native / Pacific Islander,0**,502,0.00**,0.00**,
Delaware,2018,Females,More than One Race,0**,13993,0.00**,0.00**,
District of Columbia,2023,Males,White,13**,157615,8.25**,7.25**,297
District of Columbia,2023,Males,Black,11**,136758,8.04**,8.80**,231
District of Columbia,2023,Males,American Indian / Alaska Native,0**,2451,0.00**,0.00**,
District of Columbia,2023,Males,Asian,0**,14074,0.00**,0.00**,
District of Columbia,2023,Males,HI Native / Pacific Islander,0**,608,0.00**,0.00**,
District of Columbia,2023,Males,More than One Race,0**,10209,0.00**,0.00**,
District of Columbia,2023,Females,American Indian / Alaska Native,0**,2157,0.00**,0.00**,
District of Columbia,2023,Females,Asian,0**,19284,0.00**,0.00**,
District of Columbia,2023,Females,HI Native / Pacific Islander,0**,609,0.00**,0.00**,
District of Columbia,2023,Females,More than One Race,0**,11948,0.00**,0.00**,
District of Columbia,2022,Males,White,15**,154972,9.68**,7.19**,358
District of Columbia,2022,Males,Black,19**,137229,13.85**,13.10**,438
District of Columbia,2022,Males,American Indian / Alaska Native,0**,2380,0.00**,0.00**,
District of Columbia,2022,Males,HI Native / Pacific Islander,0**,555,0.00**,0.00**,
District of Columbia,2022,Females,American Indian / Alaska Native,0**,2063,0.00**,0.00**,
District of Columbia,2022,Females,HI Native / Pacific Islander,0**,562,0.00**,0.00**,
District of Columbia,2022,Females,More than One Race,0**,11491,0.00**,0.00**,
District of Columbia,2021,Males,White,23,154014,14.93,14.09,436
District of Columbia,2021,Males,Black,15**,139186,10.78**,10.04**,435
District of Columbia,2021,Males,American Indian / Alaska Native,0**,2250,0.00**,0.00**,
District of Columbia,2021,Males,Asian,0**,13007,0.00**,0.00**,
